CUST0000000001,2022-12-12 12:53:58.1994630,43,Female,55085.25,college,married,1,2,two_year,electronic_check,1,0,67.1999969482422,144.389999389648,1,1,1,0,0,1,1,1,1,9,0,0,0,109.629997253418,16,NULL,0
CUST0000000002,2022-01-13 12:53:58.1999730,18,Male,60786.109375,master,married,1,22,one_year,bank_transfer,1,0,71.5400009155273,1602.21997070313,2,0,1,0,1,0,0,0,1,7,0,3,1,63.25,134,585,0
CUST0000000003,2023-09-04 12:53:58.1999850,38,Female,73184.3203125,high_school,widowed,0,3,two_year,credit_card,0,0,112.199996948242,328.809997558594,4,1,1,0,0,1,1,1,0,6,1,1,0,47.7700004577637,11,632,0
CUST0000000004,2022-06-27 12:53:58.1999920,44,Male,40923.78125,high_school,married,1,6,two_year,bank_transfer,1,0,107.48999786377,643.450012207031,3,1,1,0,0,1,1,0,1,5,2,2,1,50.8199996948242,6,569,0
CUST0000000005,2022-12-08 12:53:58.1999990,45,Female,36400.94140625,bachelor,single,0,9,two_year,credit_card,1,0,110.050003051758,648.789978027344,3,0,1,0,0,0,0,0,1,8,1,1,0,16.7399997711182,18,657,0
CUST0000000006,2023-01-12 12:53:58.2000060,55,Female,30771.380859375,master,married,1,47,two_year,credit_card,1,0,71.8000030517578,3041.8701171875,2,1,1,0,0,0,0,1,1,8,0,0,0,24.5599994659424,22,702,0
CUST0000000007,2021-04-23 12:53:58.2000120,47,Male,65503.8203125,college,married,0,26,two_year,electronic_check,1,0,126.849998474121,3602.75,4,1,1,1,1,0,0,1,1,4,2,3,0,46.3600006103516,11,716,0
CUST0000000008,2023-03-04 12:53:58.2000180,39,Male,65039.3203125,college,single,0,18,one_year,electronic_check,0,0,121.040000915527,2067.40991210938,3,1,1,1,0,0,1,1,0,5,2,4,0,48.9000015258789,106,525,0
CUST0000000009,2021-07-18 12:53:58.2000230,31,Male,37306.25,bachelor,married,0,1,two_year,mailed_check,1,1,77.5599975585938,59.5200004577637,4,1,1,1,1,1,1,0,1,4,NULL,0,0,94.6399993896484,28,637,0
CUST0000000010,2025-09-12 12:53:58.2000290,38,Female,40665.19921875,college,single,0,31,two_year,electronic_check,1,0,72.3000030517578,2060.669921875,1,1,1,0,0,0,1,0,0,5,0,1,0,11.3299999237061,91,850,0
CUST0000000011,2024-10-02 12:53:58.2000350,54,Female,31615.099609375,high_school,divorced,0,12,two_year,mailed_check,1,1,45.7400016784668,504.350006103516,2,0,0,0,0,0,0,1,1,5,1,1,1,0,123,535,0
CUST0000000012,2022-08-22 12:53:58.2000410,57,Female,64892.48046875,high_school,single,1,38,one_year,electronic_check,1,0,80.5500030517578,3187.81005859375,3,1,1,1,1,1,1,0,0,2,1,1,1,NULL,1,NULL,0
CUST0000000013,2025-02-15 12:53:58.2000470,34,Female,37552.1796875,college,married,1,7,two_year,bank_transfer,1,0,106.75,677.299987792969,1,0,1,0,0,1,1,1,1,5,0,2,1,22.4599990844727,26,681,0
CUST0000000014,2021-12-21 12:53:58.2000530,60,Male,40267.76953125,college,single,0,1,two_year,bank_transfer,0,1,86.0400009155273,93.1500015258789,1,1,1,1,0,0,1,0,1,3,0,2,1,39.810001373291,33,655,0
CUST0000000015,2025-10-16 12:53:58.2000580,53,Male,20000,college,married,0,48,two_year,mailed_check,1,0,68.8399963378906,2985.82006835938,1,1,1,0,0,1,0,0,1,4,0,1,1,NULL,83,698,0
CUST0000000016,2022-03-17 12:53:58.2000640,31,Female,50638.8984375,master,married,0,5,two_year,credit_card,0,0,61.1800003051758,309.630004882813,1,0,0,0,0,0,0,0,0,1,0,1,0,0,70,572,0
CUST0000000017,2022-12-15 12:53:58.2000700,48,Female,68985.4375,college,married,0,12,one_year,mailed_check,1,0,114.930000305176,1493.27001953125,6,0,0,0,0,0,0,1,0,8,0,0,0,0,91,731,0
CUST0000000018,2023-08-24 12:53:58.2000760,50,Female,44614.6796875,bachelor,married,0,9,one_year,electronic_check,1,0,93.4199981689453,767.289978027344,5,1,0,0,0,0,0,1,0,7,1,4,1,0,1,682,0
CUST0000000019,2021-05-30 12:53:58.2000820,29,Male,67784.5703125,bachelor,married,2,1,two_year,bank_transfer,1,0,62.5400009155273,59.7700004577637,1,1,1,0,0,1,0,1,1,4,0,0,0,47.4199981689453,139,654,0
CUST0000000020,2025-09-03 12:53:58.2000870,24,Male,NULL,master,married,0,44,one_year,electronic_check,0,1,103.930000305176,4323.60009765625,4,1,1,0,0,0,0,0,1,7,0,1,1,125.48999786377,19,702,0
CUST0000000021,2021-06-01 12:53:58.2000930,52,Female,87602.8203125,master,single,0,45,one_year,credit_card,1,0,72.4100036621094,3316.3701171875,1,0,1,0,1,0,0,0,1,6,0,0,2,55.5200004577637,1,772,0
CUST0000000022,2022-05-20 12:53:58.2000990,38,Female,21371.919921875,bachelor,divorced,0,72,one_year,bank_transfer,1,0,130.070007324219,10279.400390625,3,0,1,1,1,1,0,1,1,2,1,1,1,122.620002746582,14,749,0
CUST0000000023,2023-12-04 12:53:58.2001040,67,Female,40625.98046875,high_school,married,1,11,two_year,mailed_check,1,0,79.6600036621094,602.010009765625,2,1,1,1,1,0,0,0,1,9,0,1,0,61.4500007629395,26,NULL,0
CUST0000000024,2025-02-02 12:53:58.2001100,70,Female,75938.671875,master,widowed,1,72,one_year,bank_transfer,1,0,59.4799995422363,4679.77001953125,3,0,0,0,0,0,0,1,1,4,0,0,0,0,50,816,0
CUST0000000025,2021-11-18 12:53:58.2001150,52,Male,36441.12109375,high_school,married,0,14,one_year,credit_card,1,0,108.01000213623,1434.72998046875,2,0,1,0,0,0,0,1,1,3,0,1,0,63.0099983215332,14,656,0
